year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,4,0.9,23.6,2040000,2102400,0,-62400,-3.1,40800,-7310399.999999999,-87390399.99999999,7207199.999999999,-0.01,20019999.999999996,-20082399.999999996,-20082399.999999996,"",-7310399.999999999
2,2027,8,3.4,42.5,7345468.800000001,4204800,0,3140668.8000000007,42.8,146909.37600000002,-4213440.5759999985,-91603840.57599999,7207199.999999999,0.42,20019999.999999996,-16879331.199999996,-16879331.199999996,"",-4213440.5759999985
3,2028,11,6.2,56.7,13469386.13856,5781600,0,7687786.138560001,57.1,269387.7227712,211198.4157888014,-91392642.16021119,7207199.999999999,1.03,20019999.999999996,-12332213.861439995,-12332213.861439995,"",211198.4157888014
4,2029,14,9.3,66.1,20003997.599199936,7358400,0,12645597.599199936,63.2,400079.9519839987,5038317.647215937,-86354324.51299526,7207199.999999999,1.7,20019999.999999996,-7374402.4008000605,-7374402.4008000605,"",5038317.647215937
5,2030,17,12.5,73.7,27072046.812961657,8935200,0,18136846.812961657,67,541440.9362592332,10388205.876702424,-75966118.63629283,7207199.999999999,2.44,20019999.999999996,-1883153.1870383397,-1883153.1870383397,"",10388205.876702424
6,2031,20,15.9,79.3,34306285.71154203,10512000,0,23794285.711542033,69.4,686125.7142308407,15900959.997311193,-60065158.63898164,7207199.999999999,3.21,20019999.999999996,3774285.7115420364,3774285.7115420364,377428.5711542037,15523531.42615699
7,2032,20,16.6,83.1,35947106.3481455,10512000,0,25435106.3481455,70.8,718942.12696291,17508964.22118259,-42556194.417799056,7207199.999999999,3.43,20019999.999999996,5415106.348145504,5415106.348145504,541510.6348145504,16967453.58636804
8,2033,20,17.2,85.9,37180010.39791791,10512000,0,26668010.39791791,71.7,743600.2079583582,18717210.189959552,-23838984.227839503,7207199.999999999,3.6,20019999.999999996,6648010.397917915,6648010.397917915,664801.0397917916,18052409.15016776
9,2034,20,17.6,87.8,38004752.91428316,10512000,0,27492752.914283156,72.3,760095.0582856631,19525457.85599749,-4313526.371842012,7207199.999999999,3.71,20019999.999999996,7472752.91428316,7472752.91428316,747275.291428316,18778182.564569175
10,2035,20,17.9,89.7,38829823.84045452,10512000,0,28317823.84045452,72.9,776596.4768090904,20334027.363645427,292350034.7581667,7207199.999999999,3.82,20019999.999999996,8297823.8404545225,8297823.8404545225,829782.3840454523,19504244.979599975
