year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,2933333.333333333,5334840,10133866.666666666,-12535373.333333332,-427.3,58666.666666666664,-38544415,-390956915,25950375,-0.49,64075000,-76610373.33333333,-76610373.33333333,"",-38544415
2,2027,20,8,40,10771200,10669680,11560358.4,-11458838.4,-106.4,215424,-37624637.4,-428581552.4,25950375,-0.45,64075000,-75533838.4,-75533838.4,"",-37624637.4
3,2028,27.5,14.7,53.3,20142144,14670810,13265870.208,-7794536.208000001,-38.7,402842.88,-34147754.088,-462729306.488,25950375,-0.32,64075000,-71869536.208,-71869536.208,"",-34147754.088
4,2029,35,21.8,62.2,30506192.64,18671940,15152127.060479999,-3317874.420479998,-10.9,610123.8528,-29878373.27328,-492607679.76128,25950375,-0.15,64075000,-67392874.42048,-67392874.42048,"",-29878373.27328
5,2030,42.5,29.5,69.3,42102281.29536001,22673070,17262615.19575552,2166596.0996044874,5.1,842045.6259072002,-24625824.526302714,-517233504.2875827,25950375,0.05,64075000,-61908403.90039551,-61908403.90039551,"",-24625824.526302714
6,2031,50,37.3,74.7,54409101.98169599,26674200,19502456.56066867,8232445.421027318,15.1,1088182.0396339197,-18806111.6186066,-536039615.9061893,25950375,0.28,64075000,-55842554.57897268,-55842554.57897268,"",-18806111.6186066
7,2032,50,39.1,78.2,58140011.83186944,26674200,20181482.153400235,11284329.678469203,19.4,1162800.2366373888,-15828845.558168186,-551868461.4643575,25950375,0.39,64075000,-52790670.3215308,-52790670.3215308,"",-15828845.558168186
8,2033,50,40.4,80.9,61324498.84356958,26674200,20761058.789529663,13889240.054039914,22.6,1226489.9768713915,-13287624.922831478,-565156086.387189,25950375,0.49,64075000,-50185759.94596009,-50185759.94596009,"",-13287624.922831478
9,2034,50,41.3,82.7,63925735.827483624,26674200,21234483.92060202,16017051.906881604,25.1,1278514.7165496724,-11211837.809668068,-576367924.1968571,25950375,0.57,64075000,-48057948.0931184,-48057948.0931184,"",-11211837.809668068
10,2035,50,42.2,84.4,66606492.49121679,26674200,21722381.633401453,18209910.85781534,27.3,1332129.849824336,-9072593.992008995,-545999622.74819,25950375,0.65,64075000,-45865089.14218466,-45865089.14218466,"",-9072593.992008995
