year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,6,1.3,22.2,1584000,2286360,8213840,-8916200,-562.9,31680,-18217992.5,-224220492.50000006,9270112.500000002,-0.97,37455000.00000001,-46371200.00000001,-46371200.00000001,"",-18217992.5
2,2027,12,4.8,40,5816448,4572720,8785220.48,-7541492.48,-129.7,116328.96,-16927933.94,-241148426.44000006,9270112.500000002,-0.83,37455000.00000001,-44996492.480000004,-44996492.480000004,"",-16927933.94
3,2028,16.5,8.8,53.3,10876757.76,6287490,9468362.297600001,-4879094.537600001,-44.9,217535.1552,-14366742.192800004,-255515168.63280007,9270112.500000002,-0.55,37455000.00000001,-42334094.53760001,-42334094.53760001,"",-14366742.192800004
4,2029,21,13.1,62.2,16473344.025599997,8002260,10223901.443456,-1752817.4178560022,-10.6,329466.88051199995,-11352396.798368003,-266867565.43116808,9270112.500000002,-0.22,37455000.00000001,-39207817.41785601,-39207817.41785601,"",-11352396.798368003
5,2030,25.5,17.7,69.3,22735231.899494402,9717030,11069256.306431744,1948945.5930626579,8.6,454704.637989888,-7775871.544927232,-274643436.9760953,9270112.500000002,0.16,37455000.00000001,-35506054.406937346,-35506054.406937346,"",-7775871.544927232
6,2031,30,22.4,74.7,29380915.070115834,11431800,11966423.534465637,5982691.535650197,20.4,587618.3014023167,-3875039.265752121,-278518476.24184746,9270112.500000002,0.58,37455000.00000001,-31472308.46434981,-31472308.46434981,"",-3875039.265752121
7,2032,30,23.5,78.2,31395606.389209494,11431800,12238406.862543281,7725399.526666213,24.6,627912.1277841899,-2172625.101117979,-280691101.3429654,9270112.500000002,0.77,37455000.00000001,-29729600.473333795,-29729600.473333795,"",-2172625.101117979
8,2033,30,24.3,80.9,33115229.37552757,11431800,12470555.965696223,9212873.409831345,27.8,662304.5875105513,-719543.677679209,-281410645.0206446,9270112.500000002,0.92,37455000.00000001,-28242126.590168662,-28242126.590168662,"",-719543.677679209
9,2034,30,24.8,82.7,34519897.34684116,11431800,12660186.141823556,10427911.2050176,30.2,690397.9469368232,467400.7580807749,-280943244.2625638,9270112.500000002,1.05,37455000.00000001,-27027088.794982407,-27027088.794982407,"",467400.7580807749
10,2035,30,25.3,84.4,35967505.94525707,11431800,12855613.302609704,11680092.642647363,32.5,719350.1189051414,1690630.0237422194,-237558446.67116913,9270112.500000002,1.18,37455000.00000001,-25774907.357352644,-25774907.357352644,"",1690630.0237422194
