year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,2640000,3810600,8356400,-9527000,-360.9,52800,-25029987.5,-368367487.5,15450187.5,-0.62,62425000,-71952000,-71952000,"",-25029987.5
2,2027,20,8,40,9694080,7621200,9308700.8,-7235820.800000001,-74.6,193881.6,-22879889.9,-391247377.4,15450187.5,-0.48,62425000,-69660820.8,-69660820.8,"",-22879889.9
3,2028,27.5,14.7,53.3,18127929.6,10479150,10447270.496,-2798490.895999998,-15.4,362558.59200000006,-18611236.987999998,-409858614.38799995,15450187.5,-0.2,62425000,-65223490.896,-65223490.896,"",-18611236.987999998
4,2029,35,21.8,62.2,27455573.376,13337100,11706502.40576,2411970.970239999,8.8,549111.46752,-13587327.997280002,-423445942.38527995,15450187.5,0.12,62425000,-60013029.02976,-60013029.02976,"",-13587327.997280002
5,2030,42.5,29.5,69.3,37892053.165824,16195050,13115427.177386241,8581575.988437762,22.6,757841.0633164801,-7626452.574878718,-431072394.96015865,15450187.5,0.51,62425000,-53843424.011562236,-53843424.011562236,"",-7626452.574878718
6,2031,50,37.3,74.7,48968191.7835264,19053000,14610705.890776064,15304485.892750334,31.3,979363.835670528,-1125065.442920193,-432197460.40307885,15450187.5,0.93,62425000,-47120514.10724966,-47120514.10724966,"",-1125065.442920193
7,2032,50,39.1,78.2,52326010.64868249,19053000,15064011.437572137,18208999.211110353,34.8,1046520.2129736498,1712291.498136703,-430485168.90494215,15450187.5,1.11,62425000,-44216000.78888965,-44216000.78888965,"",1712291.498136703
8,2033,50,40.4,80.9,55192048.959212616,19053000,15450926.609493703,20688122.349718913,37.5,1103840.9791842524,4134093.870534662,-426351075.0344075,15450187.5,1.27,62425000,-41736877.65028109,-41736877.65028109,"",4134093.870534662
9,2034,50,41.3,82.7,57533162.244735256,19053000,15766976.90303926,22713185.341695994,39.5,1150663.2448947052,6112334.596801288,-420238740.4376062,15450187.5,1.4,62425000,-39711814.658304006,-39711814.658304006,"",6112334.596801288
10,2035,50,42.2,84.4,59945843.24209511,19053000,16092688.83768284,24800154.404412273,41.4,1198916.8648419024,8151050.039570373,-246597411.1186149,15450187.5,1.53,62425000,-37624845.59558773,-37624845.59558773,"",8151050.039570373
