year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,2640000,5334840,8356400,-11051240,-418.6,52800,-26554227.5,-369891727.5,15450187.5,-0.72,62425000,-73476240,-73476240,"",-26554227.5
2,2027,20,8,40,9694080,10669680,9308700.8,-10284300.8,-106.1,193881.6,-25928369.9,-395820097.4,15450187.5,-0.68,62425000,-72709300.8,-72709300.8,"",-25928369.9
3,2028,27.5,14.7,53.3,18127929.6,14670810,10447270.496,-6990150.895999998,-38.6,362558.59200000006,-22802896.987999998,-418622994.38799995,15450187.5,-0.48,62425000,-69415150.896,-69415150.896,"",-22802896.987999998
4,2029,35,21.8,62.2,27455573.376,18671940,11706502.40576,-2922869.029760001,-10.6,549111.46752,-18922167.99728,-437545162.38527995,15450187.5,-0.22,62425000,-65347869.02976,-65347869.02976,"",-18922167.99728
5,2030,42.5,29.5,69.3,37892053.165824,22673070,13115427.177386241,2103555.9884377625,5.6,757841.0633164801,-14104472.574878719,-451649634.96015865,15450187.5,0.09,62425000,-60321444.011562236,-60321444.011562236,"",-14104472.574878719
6,2031,50,37.3,74.7,48968191.7835264,26674200,14610705.890776064,7683285.892750334,15.7,979363.835670528,-8746265.442920193,-460395900.40307885,15450187.5,0.43,62425000,-54741714.10724966,-54741714.10724966,"",-8746265.442920193
7,2032,50,39.1,78.2,52326010.64868249,26674200,15064011.437572137,10587799.211110353,20.2,1046520.2129736498,-5908908.501863297,-466304808.90494215,15450187.5,0.62,62425000,-51837200.78888965,-51837200.78888965,"",-5908908.501863297
8,2033,50,40.4,80.9,55192048.959212616,26674200,15450926.609493703,13066922.349718913,23.7,1103840.9791842524,-3487106.1294653397,-469791915.0344075,15450187.5,0.77,62425000,-49358077.65028109,-49358077.65028109,"",-3487106.1294653397
9,2034,50,41.3,82.7,57533162.244735256,26674200,15766976.90303926,15091985.341695996,26.2,1150663.2448947052,-1508865.4031987097,-471300780.4376062,15450187.5,0.9,62425000,-47333014.658304006,-47333014.658304006,"",-1508865.4031987097
10,2035,50,42.2,84.4,59945843.24209511,26674200,16092688.83768284,17178954.404412273,28.7,1198916.8648419024,529850.0395703707,-442462251.1186149,15450187.5,1.03,62425000,-45246045.59558773,-45246045.59558773,"",529850.0395703707
