year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,6.8,1.5,22.2,1803119.9999999995,3643695.7199999997,8243421.2,-10083996.92,-559.3,36062.399999999994,-20672537.3825,-255172049.88250005,10552478.062500002,-0.96,42636275.00000001,-52720271.92000001,-52720271.92000001,"",-20672537.3825
2,2027,13.7,5.5,40,6621056.64,7287391.4399999995,8893842.6464,-9560177.446400002,-144.4,132421.1328,-20245076.641700003,-275417126.5242001,10552478.062500002,-0.92,42636275.00000001,-52196452.44640001,-52196452.44640001,"",-20245076.641700003
3,2028,18.8,10,53.3,12381375.9168,10020163.229999999,9671485.748768,-7310273.061967999,-59,247627.518336,-18110378.642804,-293527505.1670041,10552478.062500002,-0.72,42636275.00000001,-49946548.061968006,-49946548.061968006,"",-18110378.642804
4,2029,23.9,14.9,62.2,18752156.615807995,12752935.02,10531541.14313408,-4532319.547326084,-24.2,375043.1323161599,-15459840.742142245,-308987345.90914637,10552478.062500002,-0.47,42636275.00000001,-47168594.54732609,-47168594.54732609,"",-15459840.742142245
5,2030,29,20.1,69.3,25880272.312257797,15485706.81,11493836.762154803,-1099271.2598970067,-4.2,517605.44624515594,-12169354.768642165,-321156700.67778856,10552478.062500002,-0.15,42636275.00000001,-43735546.259897016,-43735546.259897016,"",-12169354.768642165
6,2031,34.2,25.5,74.7,33445274.988148533,18218478.599999998,12515112.123400051,2711684.264748484,8.1,668905.4997629707,-8509699.297514489,-329666399.97530305,10552478.062500002,0.19,42636275.00000001,-39924590.73525152,-39924590.73525152,"",-8509699.297514489
7,2032,34.2,26.7,78.2,35738665.273050144,18218478.599999998,12824719.81186177,4695466.861188376,13.1,714773.3054610029,-6571784.506772628,-336238184.4820757,10552478.062500002,0.38,42636275.00000001,-37940808.13881163,-37940808.13881163,"",-6571784.506772628
8,2033,34.2,27.6,80.9,37696169.43914221,18218478.599999998,13088982.8742842,6388707.964858014,16.9,753923.3887828443,-4917693.486424832,-341155877.9685005,10552478.062500002,0.53,42636275.00000001,-36247567.03514199,-36247567.03514199,"",-4917693.486424832
9,2034,34.2,28.2,82.7,39295149.81315418,18218478.599999998,13304845.224775815,7771825.98837837,19.8,785902.9962630837,-3566555.0703847157,-344722433.03888524,10552478.062500002,0.66,42636275.00000001,-34864449.01162164,-34864449.01162164,"",-3566555.0703847157
10,2035,34.2,28.8,84.4,40943010.93435097,18218478.599999998,13527306.476137381,9197225.858213589,22.5,818860.2186870193,-2174112.4229734326,-346896545.4618587,10552478.062500002,0.79,42636275.00000001,-33439049.14178642,-33439049.14178642,"",-2174112.4229734326
