year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,15,3.3,22.2,3959999.999999999,8002260,8534600,-12576860,-317.6,79199.99999999999,-35831341.25,-550837591.2500001,23175281.250000004,-0.55,93637500.00000001,-106214360.00000001,-106214360.00000001,"",-35831341.25
2,2027,30,12,40,14541120,16004520,9963051.2,-11426451.2,-78.6,290822.4,-34892554.85,-585730146.1000001,23175281.250000004,-0.51,93637500.00000001,-105063951.20000002,-105063951.20000002,"",-34892554.85
3,2028,41.3,22,53.3,27191894.400000002,22006215,11670905.744,-6485226.343999999,-23.8,543837.888,-30204345.482,-615934491.5820001,23175281.250000004,-0.3,93637500.00000001,-100122726.34400001,-100122726.34400001,"",-30204345.482
4,2029,52.5,32.7,62.2,41183360.063999996,28007910,13559753.60864,-384303.54464000463,-0.9,823667.2012799999,-24383251.99592001,-640317743.5779202,23175281.250000004,-0.05,93637500.00000001,-94021803.54464002,-94021803.54464002,"",-24383251.99592001
5,2030,63.8,44.2,69.3,56838079.74873601,34009605,15673140.766079362,7155333.9826566465,12.6,1136761.5949747202,-17156708.862318076,-657474452.4402382,23175281.250000004,0.26,93637500.00000001,-86482166.01734337,-86482166.01734337,"",-17156708.862318076
6,2031,75,56,74.7,73452287.6752896,40011300,17916058.836164095,15524928.839125507,21.1,1469045.753505792,-9119398.16438029,-666593850.6046185,23175281.250000004,0.61,93637500.00000001,-78112571.16087452,-78112571.16087452,"",-9119398.16438029
7,2032,75,58.7,78.2,78489015.97302374,40011300,18596017.156358205,19881698.816665538,25.3,1569780.319460475,-4863362.75279494,-671457213.3574135,23175281.250000004,0.79,93637500.00000001,-73755801.18333447,-73755801.18333447,"",-4863362.75279494
8,2033,75,60.7,80.9,82788073.43881892,40011300,19176389.914240554,23600383.524578363,28.5,1655761.4687763783,-1230659.1941980198,-672687872.5516115,23175281.250000004,0.95,93637500.00000001,-70037116.47542165,-70037116.47542165,"",-1230659.1941980198
9,2034,75,62,82.7,86299743.36710289,40011300,19650465.354558893,26637978.012544,30.9,1725994.8673420579,1736701.8952019364,-670951170.6564096,23175281.250000004,1.07,93637500.00000001,-66999521.987456016,-66999521.987456016,"",1736701.8952019364
10,2035,75,63.3,84.4,89918764.86314267,40011300,20139033.25652426,29768431.606618408,33.1,1798375.2972628535,4794775.0593555495,-551693376.6779228,23175281.250000004,1.21,93637500.00000001,-63869068.39338161,-63869068.39338161,"",4794775.0593555495
