year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,20,4.4,22.2,5066666.666666666,7621200,10522133.333333334,-13076666.666666668,-258.1,101333.33333333333,-65078750,-769903750,51900750,-0.25,128150000,-141226666.66666666,-141226666.66666666,"",-65078750
2,2027,40,16,40,18604800,15242400,12986073.6,-9623673.6,-51.7,372096,-61896519.6,-831800269.6,51900750,-0.19,128150000,-137773673.6,-137773673.6,"",-61896519.6
3,2028,55,29.3,53.3,34790975.99999999,20958300,15931957.632,-2099281.6320000067,-6,695819.5199999999,-54695851.15200001,-886496120.7520001,51900750,-0.05,128150000,-130249281.632,-130249281.632,"",-54695851.15200001
4,2029,70,43.6,62.2,52692514.56,26674200,19190037.64992,6828276.910080001,13,1053850.2912,-46126323.38112,-932622444.1331201,51900750,0.11,128150000,-121321723.08992,-121321723.08992,"",-46126323.38112
5,2030,85,58.9,69.3,72722122.23744002,32390100,22835426.247214083,17496595.990225937,24.1,1454442.4447488005,-35858596.45452286,-968481040.5876429,51900750,0.31,128150000,-110653404.00977406,-110653404.00977406,"",-35858596.45452286
6,2031,100,74.7,74.7,93979357.96838398,38106000,26704243.150245883,29169114.8181381,31,1879587.1593676796,-24611222.34122958,-993092262.9288725,51900750,0.53,128150000,-98980885.1818619,-98980885.1818619,"",-24611222.34122958
7,2032,100,78.2,78.2,100423656.80050176,38106000,27877105.53769132,34440551.26281044,34.3,2008473.1360100354,-19468671.873199597,-1012560934.802072,51900750,0.62,128150000,-93709448.73718956,-93709448.73718956,"",-19468671.873199597
8,2033,100,80.9,80.9,105924134.36616561,38106000,28878192.45464214,38939941.91152347,36.8,2118482.6873233123,-15079290.77579984,-1027640225.5778719,51900750,0.71,128150000,-89210058.08847654,-89210058.08847654,"",-15079290.77579984
9,2034,100,82.7,82.7,110417180.06565352,38106000,29695926.77194894,42615253.29370458,38.6,2208343.6013130704,-11493840.307608493,-1039134065.8854804,51900750,0.78,128150000,-85534746.70629543,-85534746.70629543,"",-11493840.307608493
10,2035,100,84.4,84.4,115047577.93937448,38106000,30538659.184966154,46402918.75440832,40.3,2300951.55878749,-7798782.804379165,-788355311.1105099,51900750,0.85,128150000,-81747081.24559167,-81747081.24559167,"",-7798782.804379165
