year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,2533333.333333333,3810600,10061066.666666666,-11338333.333333332,-447.6,50666.666666666664,-37339375,-389751875,25950375,-0.44,64075000,-75413333.33333333,-75413333.33333333,"",-37339375
2,2027,20,8,40,9302400,7621200,11293036.8,-9611836.8,-103.3,186048,-35748259.8,-425500134.8,25950375,-0.38,64075000,-73686836.8,-73686836.8,"",-35748259.8
3,2028,27.5,14.7,53.3,17395487.999999996,10479150,12765978.816,-5849640.816000003,-33.6,347909.75999999995,-32147925.576000005,-457648060.37600005,25950375,-0.24,64075000,-69924640.816,-69924640.816,"",-32147925.576000005
4,2029,35,21.8,62.2,26346257.28,13337100,14395018.82496,-1385861.5449599996,-5.3,526925.1456,-27863161.69056,-485511222.06656003,25950375,-0.07,64075000,-65460861.54496,-65460861.54496,"",-27863161.69056
5,2030,42.5,29.5,69.3,36361061.11872001,16195050,16217713.123607041,3948297.9951129686,10.9,727221.2223744002,-22729298.22726143,-508240520.29382145,25950375,0.12,64075000,-60126702.00488703,-60126702.00488703,"",-22729298.22726143
6,2031,50,37.3,74.7,46989678.98419199,19053000,18152121.57512294,9784557.40906905,20.8,939793.5796838398,-17105611.17061479,-525346131.46443623,25950375,0.34,64075000,-54290442.59093095,-54290442.59093095,"",-17105611.17061479
7,2032,50,39.1,78.2,50211828.40025088,19053000,18738552.768845662,12420275.63140522,24.7,1004236.5680050177,-14534335.936599799,-539880467.401036,25950375,0.44,64075000,-51654724.36859478,-51654724.36859478,"",-14534335.936599799
8,2033,50,40.4,80.9,52962067.183082804,19053000,19239096.22732107,14669970.955761734,27.7,1059241.3436616561,-12339645.387899922,-552220112.7889359,25950375,0.52,64075000,-49405029.04423827,-49405029.04423827,"",-12339645.387899922
9,2034,50,41.3,82.7,55208590.03282676,19053000,19647963.38597447,16507626.646852288,29.9,1104171.8006565352,-10546920.153804246,-562767032.9427402,25950375,0.59,64075000,-47567373.353147715,-47567373.353147715,"",-10546920.153804246
10,2035,50,42.2,84.4,57523788.96968724,19053000,20069329.592483077,18401459.37720416,32,1150475.779393745,-8699391.402189583,-528577655.55525494,25950375,0.66,64075000,-45673540.622795835,-45673540.622795835,"",-8699391.402189583
