year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,2933333.333333333,3810600,10133866.666666666,-11011133.333333332,-375.4,58666.666666666664,-37020175,-389432675,25950375,-0.43,64075000,-75086133.33333333,-75086133.33333333,"",-37020175
2,2027,20,8,40,10771200,7621200,11560358.4,-8410358.4,-78.1,215424,-34576157.4,-424008832.4,25950375,-0.33,64075000,-72485358.4,-72485358.4,"",-34576157.4
3,2028,27.5,14.7,53.3,20142144,10479150,13265870.208,-3602876.2080000006,-17.9,402842.88,-29956094.088,-453964926.488,25950375,-0.15,64075000,-67677876.208,-67677876.208,"",-29956094.088
4,2029,35,21.8,62.2,30506192.64,13337100,15152127.060479999,2016965.579520002,6.6,610123.8528,-24543533.27328,-478508459.76128,25950375,0.05,64075000,-62058034.42048,-62058034.42048,"",-24543533.27328
5,2030,42.5,29.5,69.3,42102281.29536001,16195050,17262615.19575552,8644616.099604487,20.5,842045.6259072002,-18147804.526302714,-496656264.2875827,25950375,0.3,64075000,-55430383.90039551,-55430383.90039551,"",-18147804.526302714
6,2031,50,37.3,74.7,54409101.98169599,19053000,19502456.56066867,15853645.421027318,29.1,1088182.0396339197,-11184911.618606603,-507841175.9061893,25950375,0.57,64075000,-48221354.57897268,-48221354.57897268,"",-11184911.618606603
7,2032,50,39.1,78.2,58140011.83186944,19053000,20181482.153400235,18905529.678469203,32.5,1162800.2366373888,-8207645.558168184,-516048821.4643575,25950375,0.68,64075000,-45169470.3215308,-45169470.3215308,"",-8207645.558168184
8,2033,50,40.4,80.9,61324498.84356958,19053000,20761058.789529663,21510440.054039914,35.1,1226489.9768713915,-5666424.922831476,-521715246.387189,25950375,0.78,64075000,-42564559.94596009,-42564559.94596009,"",-5666424.922831476
9,2034,50,41.3,82.7,63925735.827483624,19053000,21234483.92060202,23638251.906881604,37,1278514.7165496724,-3590637.809668068,-525305884.19685704,25950375,0.86,64075000,-40436748.0931184,-40436748.0931184,"",-3590637.809668068
10,2035,50,42.2,84.4,66606492.49121679,19053000,21722381.633401453,25831110.85781534,38.8,1332129.849824336,-1451393.9920089953,-350134782.7481899,25950375,0.94,64075000,-38243889.14218466,-38243889.14218466,"",-1451393.9920089953
