year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,20,4.4,22.2,1936000,0,0,1936000,100,38720,-11962720,-350762720,13860000,0.14,61600000,-59664000,-59664000,"",-11962720
2,2027,40,16,40,7108992,0,0,7108992,100,142179.84,-6893187.84,-357655907.84,13860000,0.5,61600000,-54491008,-54491008,"",-6893187.84
3,2028,55,29.3,53.3,13293815.040000003,0,0,13293815.040000003,100,265876.3008000001,-832061.2607999966,-358487969.1008,13860000,0.94,61600000,-48306184.95999999,-48306184.95999999,"",-832061.2607999966
4,2029,70,43.6,62.2,20134087.142400004,0,0,20134087.142400004,100,402681.7428480001,5871405.399552003,-352616563.701248,13860000,1.42,61600000,-41465912.857599996,-41465912.857599996,"",5871405.399552003
5,2030,85,58.9,69.3,27787505.65493761,0,0,27787505.65493761,100,555750.1130987522,13371755.541838858,-339244808.1594091,13860000,1.96,61600000,-33812494.34506239,-33812494.34506239,"",13371755.541838858
6,2031,100,74.7,74.7,35910007.30791936,0,0,35910007.30791936,100,718200.1461583872,21331807.16176097,-317913000.9976481,13860000,2.54,61600000,-25689992.69208064,-25689992.69208064,"",21331807.16176097
7,2032,100,78.2,78.2,38372407.80903383,0,0,38372407.80903383,100,767448.1561806767,23744959.652853154,-294168041.344795,13860000,2.71,61600000,-23227592.190966167,-23227592.190966167,"",23744959.652853154
8,2033,100,80.9,80.9,40474169.236755915,0,0,40474169.236755915,100,809483.3847351184,25804685.8520208,-268363355.4927742,13860000,2.86,61600000,-21125830.763244085,-21125830.763244085,"",25804685.8520208
9,2034,100,82.7,82.7,42190985.6461392,0,0,42190985.6461392,100,843819.7129227839,27487165.933216415,-240876189.55955777,13860000,2.98,61600000,-19409014.353860803,-19409014.353860803,"",27487165.933216415
10,2035,100,84.4,84.4,43960285.04420309,0,0,43960285.04420309,100,879205.7008840617,29221079.34331903,302430020.5794169,13860000,3.11,61600000,-17639714.955796912,-17639714.955796912,"",29221079.34331903
