year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,968000,0,0,968000,100,19360,-5981360,-175381360,6930000,0.14,30800000,-29832000,-29832000,"",-5981360
2,2027,20,8,40,3554496,0,0,3554496,100,71089.92,-3446593.92,-178827953.92,6930000,0.5,30800000,-27245504,-27245504,"",-3446593.92
3,2028,27.5,14.7,53.3,6646907.520000001,0,0,6646907.520000001,100,132938.15040000004,-416030.6303999983,-179243984.5504,6930000,0.94,30800000,-24153092.479999997,-24153092.479999997,"",-416030.6303999983
4,2029,35,21.8,62.2,10067043.571200002,0,0,10067043.571200002,100,201340.87142400004,2935702.6997760013,-176308281.850624,6930000,1.42,30800000,-20732956.428799998,-20732956.428799998,"",2935702.6997760013
5,2030,42.5,29.5,69.3,13893752.827468805,0,0,13893752.827468805,100,277875.0565493761,6685877.770919429,-169622404.07970455,6930000,1.96,30800000,-16906247.172531195,-16906247.172531195,"",6685877.770919429
6,2031,50,37.3,74.7,17955003.65395968,0,0,17955003.65395968,100,359100.0730791936,10665903.580880485,-158956500.49882406,6930000,2.54,30800000,-12844996.34604032,-12844996.34604032,"",10665903.580880485
7,2032,50,39.1,78.2,19186203.904516917,0,0,19186203.904516917,100,383724.0780903383,11872479.826426577,-147084020.6723975,6930000,2.71,30800000,-11613796.095483083,-11613796.095483083,"",11872479.826426577
8,2033,50,40.4,80.9,20237084.618377957,0,0,20237084.618377957,100,404741.6923675592,12902342.9260104,-134181677.7463871,6930000,2.86,30800000,-10562915.381622043,-10562915.381622043,"",12902342.9260104
9,2034,50,41.3,82.7,21095492.8230696,0,0,21095492.8230696,100,421909.85646139196,13743582.966608208,-120438094.77977888,6930000,2.98,30800000,-9704507.176930401,-9704507.176930401,"",13743582.966608208
10,2035,50,42.2,84.4,21980142.522101544,0,0,21980142.522101544,100,439602.8504420309,14610539.671659514,151215010.28970844,6930000,3.11,30800000,-8819857.477898456,-8819857.477898456,"",14610539.671659514
