year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,836000,0,0,836000,100,16720,-6110720,-175510720,6930000,0.12,30800000,-29964000,-29964000,"",-6110720
2,2027,20,8,40,3069792,0,0,3069792,100,61395.840000000004,-3921603.84,-179432323.84,6930000,0.43,30800000,-27730208,-27730208,"",-3921603.84
3,2028,27.5,14.7,53.3,5740511.04,0,0,5740511.04,100,114810.22080000001,-1304299.1808000002,-180736623.0208,6930000,0.81,30800000,-25059488.96,-25059488.96,"",-1304299.1808000002
4,2029,35,21.8,62.2,8694264.902400002,0,0,8694264.902400002,100,173885.29804800006,1590379.604352001,-179146243.416448,6930000,1.23,30800000,-22105735.097599998,-22105735.097599998,"",1590379.604352001
5,2030,42.5,29.5,69.3,11999150.169177603,0,0,11999150.169177603,100,239983.00338355207,4829167.16579405,-174317076.25065395,6930000,1.7,30800000,-18800849.830822397,-18800849.830822397,"",4829167.16579405
6,2031,50,37.3,74.7,15506594.064783357,0,0,15506594.064783357,100,310131.88129566715,8266462.183487689,-166050614.06716627,6930000,2.19,30800000,-15293405.935216643,-15293405.935216643,"",8266462.183487689
7,2032,50,39.1,78.2,16569903.37208279,0,0,16569903.37208279,100,331398.0674416558,9308505.304641135,-156742108.76252514,6930000,2.34,30800000,-14230096.62791721,-14230096.62791721,"",9308505.304641135
8,2033,50,40.4,80.9,17477482.170417324,0,0,17477482.170417324,100,349549.64340834646,10197932.527008977,-146544176.23551616,6930000,2.47,30800000,-13322517.829582676,-13322517.829582676,"",10197932.527008977
9,2034,50,41.3,82.7,18218834.710832834,0,0,18218834.710832834,100,364376.6942166567,10924458.016616177,-135619718.2189,6930000,2.58,30800000,-12581165.289167166,-12581165.289167166,"",10924458.016616177
10,2035,50,42.2,84.4,18982850.35999679,0,0,18982850.35999679,100,379657.0071999358,11673193.352796853,79144781.61383906,6930000,2.68,30800000,-11817149.640003212,-11817149.640003212,"",11673193.352796853
