year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,16.2,3.6,22.2,1571451.2000000002,0,0,1571451.2000000002,100,31429.024000000005,-9710139.824000001,-284714099.82400006,11250162.000000002,0.14,50000720.00000001,-48429268.800000004,-48429268.800000004,"",-9710139.824000001
2,2027,32.5,13,40,5770368.806400002,0,0,5770368.806400002,100,115407.37612800005,-5595200.569728,-290309300.3937281,11250162.000000002,0.5,50000720.00000001,-44230351.19360001,-44230351.19360001,"",-5595200.569728
3,2028,44.6,23.8,53.3,10790589.667968001,0,0,10790589.667968001,100,215811.79335936002,-675384.1253913604,-290984684.51911944,11250162.000000002,0.94,50000720.00000001,-39210130.33203201,-39210130.33203201,"",-675384.1253913604
4,2029,56.8,35.4,62.2,16342838.533486083,0,0,16342838.533486083,100,326856.77066972165,4765819.76281636,-286218864.7563031,11250162.000000002,1.42,50000720.00000001,-33657881.466513924,-33657881.466513924,"",4765819.76281636
5,2030,69,47.8,69.3,22555118.340112858,0,0,22555118.340112858,100,451102.36680225714,10853853.9733106,-275365010.7829925,11250162.000000002,1.96,50000720.00000001,-27445601.65988715,-27445601.65988715,"",10853853.9733106
6,2031,81.2,60.6,74.7,29148152.931838147,0,0,29148152.931838147,100,582963.058636763,17315027.873201385,-258049982.9097911,11250162.000000002,2.54,50000720.00000001,-20852567.06816186,-20852567.06816186,"",17315027.873201385
7,2032,81.2,63.5,78.2,31146883.41859276,0,0,31146883.41859276,100,622937.6683718552,19273783.750220902,-238776199.15957022,11250162.000000002,2.71,50000720.00000001,-18853836.58140725,-18853836.58140725,"",19273783.750220902
8,2033,81.2,65.7,80.9,32852883.169474773,0,0,32852883.169474773,100,657057.6633894955,20945663.506085277,-217830535.65348494,11250162.000000002,2.86,50000720.00000001,-17147836.830525234,-17147836.830525234,"",20945663.506085277
9,2034,81.2,67.1,82.7,34246423.04897119,0,0,34246423.04897119,100,684928.4609794238,22311332.587991767,-195519203.06549317,11250162.000000002,2.98,50000720.00000001,-15754296.951028816,-15754296.951028816,"",22311332.587991767
10,2035,81.2,68.5,84.4,35682563.37037965,0,0,35682563.37037965,100,713651.267407593,23718750.102972053,245482447.70431253,11250162.000000002,3.11,50000720.00000001,-14318156.629620358,-14318156.629620358,"",23718750.102972053
