year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,968000,5334840,0,-4366840,-451.1,19360,-11316200,-180716200,6930000,-0.63,30800000,-35166840,-35166840,"",-11316200
2,2027,20,8,40,3554496,10669680,0,-7115184,-200.2,71089.92,-14116273.92,-194832473.92,6930000,-1.04,30800000,-37915184,-37915184,"",-14116273.92
3,2028,27.5,14.7,53.3,6646907.520000001,14670810,0,-8023902.479999999,-120.7,132938.15040000004,-15086840.630399998,-209919314.5504,6930000,-1.18,30800000,-38823902.48,-38823902.48,"",-15086840.630399998
4,2029,35,21.8,62.2,10067043.571200002,18671940,0,-8604896.428799998,-85.5,201340.87142400004,-15736237.300223999,-225655551.850624,6930000,-1.27,30800000,-39404896.4288,-39404896.4288,"",-15736237.300223999
5,2030,42.5,29.5,69.3,13893752.827468805,22673070,0,-8779317.172531195,-63.2,277875.0565493761,-15987192.22908057,-241642744.07970455,6930000,-1.31,30800000,-39579317.172531195,-39579317.172531195,"",-15987192.22908057
6,2031,50,37.3,74.7,17955003.65395968,26674200,0,-8719196.34604032,-48.6,359100.0730791936,-16008296.419119513,-257651040.49882406,6930000,-1.31,30800000,-39519196.34604032,-39519196.34604032,"",-16008296.419119513
7,2032,50,39.1,78.2,19186203.904516917,26674200,0,-7487996.095483083,-39,383724.0780903383,-14801720.173573421,-272452760.6723975,6930000,-1.14,30800000,-38287996.09548308,-38287996.09548308,"",-14801720.173573421
8,2033,50,40.4,80.9,20237084.618377957,26674200,0,-6437115.3816220425,-31.8,404741.6923675592,-13771857.073989602,-286224617.7463871,6930000,-0.99,30800000,-37237115.381622046,-37237115.381622046,"",-13771857.073989602
9,2034,50,41.3,82.7,21095492.8230696,26674200,0,-5578707.1769304015,-26.4,421909.85646139196,-12930617.033391792,-299155234.7797789,6930000,-0.87,30800000,-36378707.1769304,-36378707.1769304,"",-12930617.033391792
10,2035,50,42.2,84.4,21980142.522101544,26674200,0,-4694057.477898456,-21.4,439602.8504420309,-12063660.328340486,-311218895.10811937,6930000,-0.74,30800000,-35494057.477898456,-35494057.477898456,"",-12063660.328340486
