year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,20,4.4,22.2,1173333.3333333335,7621200,3594666.666666667,-10042533.333333332,-855.9,23466.66666666667,-14921950,-146811950.00000003,4855950.000000001,-2.07,23980000.000000004,-34022533.333333336,-34022533.333333336,"",-14921950
2,2027,40,16,40,4308480,15242400,8924416,-19858336,-460.9,86169.6,-24800455.6,-171612405.60000002,4855950.000000001,-4.11,23980000.000000004,-43838336,-43838336,"",-24800455.6
3,2028,55,29.3,53.3,8056857.6,20958300,15296657.92,-28198100.32,-350,161137.152,-33215187.472,-204827593.07200003,4855950.000000001,-5.84,23980000.000000004,-52178100.32000001,-52178100.32000001,"",-33215187.472
4,2029,70,43.6,62.2,12202477.055999998,26674200,22344210.995199997,-36815933.9392,-301.7,244049.54111999995,-41915933.48032,-246743526.55232003,4855950.000000001,-7.63,23980000.000000004,-60795933.9392,-60795933.9392,"",-41915933.48032
5,2030,85,58.9,69.3,16840912.518144,32390100,30229551.2808448,-45778738.762700796,-271.8,336818.25036288,-50971507.01306368,-297715033.56538373,4855950.000000001,-9.5,23980000.000000004,-69758738.7627008,-69758738.7627008,"",-50971507.01306368
6,2031,100,74.7,74.7,21763640.792678397,38106000,38598189.347553276,-54940548.55487488,-252.4,435272.81585356797,-60231771.37072845,-357946804.93611217,4855950.000000001,-11.4,23980000.000000004,-78920548.55487488,-78920548.55487488,"",-60231771.37072845
7,2032,100,78.2,78.2,23256004.73274778,38106000,41135208.045671225,-55985203.31292345,-240.7,465120.09465495555,-61306273.4075784,-419253078.3436906,4855950.000000001,-11.62,23980000.000000004,-79965203.31292345,-79965203.31292345,"",-61306273.4075784
8,2033,100,80.9,80.9,24529799.537427828,38106000,43300659.21362731,-56876859.67619948,-231.9,490595.99074855656,-62223405.666948035,-481476484.0106386,4855950.000000001,-11.81,23980000.000000004,-80856859.67619948,-80856859.67619948,"",-62223405.666948035
9,2034,100,82.7,82.7,25570294.330993444,38106000,45069500.362688854,-57605206.03169541,-225.3,511405.88661986886,-62972561.91831528,-544449045.9289539,4855950.000000001,-11.97,23980000.000000004,-81585206.03169541,-81585206.03169541,"",-62972561.91831528
10,2035,100,84.4,84.4,26642596.996486716,38106000,46892414.89402742,-58355817.8975407,-219,532851.9399297343,-63744619.837470435,-608193665.7664243,4855950.000000001,-12.13,23980000.000000004,-82335817.8975407,-82335817.8975407,"",-63744619.837470435
