year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,586666.6666666667,3810600,2597333.3333333335,-5821266.666666666,-992.3,11733.333333333336,-8260975,-74205975.00000001,2427975.0000000005,-2.4,11990000.000000002,-17811266.666666668,-17811266.666666668,"",-8260975
2,2027,20,8,40,2154240,7621200,5262208,-10729168,-498,43084.8,-13200227.8,-87406202.80000001,2427975.0000000005,-4.44,11990000.000000002,-22719168,-22719168,"",-13200227.8
3,2028,27.5,14.7,53.3,4028428.8,10479150,8448328.96,-14899050.16,-369.8,80568.576,-17407593.736,-104813796.53600001,2427975.0000000005,-6.17,11990000.000000002,-26889050.160000004,-26889050.160000004,"",-17407593.736
4,2029,35,21.8,62.2,6101238.527999999,13337100,11972105.497599998,-19207966.9696,-314.8,122024.77055999998,-21757966.74016,-126571763.27616002,2427975.0000000005,-7.96,11990000.000000002,-31197966.9696,-31197966.9696,"",-21757966.74016
5,2030,42.5,29.5,69.3,8420456.259072,16195050,15914775.6404224,-23689369.381350398,-281.3,168409.12518144,-26285753.50653184,-152857516.78269187,2427975.0000000005,-9.83,11990000.000000002,-35679369.3813504,-35679369.3813504,"",-26285753.50653184
6,2031,50,37.3,74.7,10881820.396339199,19053000,20099094.673776638,-28270274.27743744,-259.8,217636.40792678398,-30915885.685364224,-183773402.46805608,2427975.0000000005,-11.73,11990000.000000002,-40260274.27743744,-40260274.27743744,"",-30915885.685364224
7,2032,50,39.1,78.2,11628002.36637389,19053000,21367604.022835612,-28792601.656461723,-247.6,232560.04732747778,-31453136.7037892,-215226539.1718453,2427975.0000000005,-11.95,11990000.000000002,-40782601.65646172,-40782601.65646172,"",-31453136.7037892
8,2033,50,40.4,80.9,12264899.768713914,19053000,22450329.606813654,-29238429.83809974,-238.4,245297.99537427828,-31911702.833474018,-247138242.0053193,2427975.0000000005,-12.14,11990000.000000002,-41228429.83809974,-41228429.83809974,"",-31911702.833474018
9,2034,50,41.3,82.7,12785147.165496722,19053000,23334750.181344427,-29602603.015847705,-231.5,255702.94330993443,-32286280.95915764,-279424522.96447694,2427975.0000000005,-12.3,11990000.000000002,-41592603.015847705,-41592603.015847705,"",-32286280.95915764
10,2035,50,42.2,84.4,13321298.498243358,19053000,24246207.44701371,-29977908.94877035,-225,266425.96996486717,-32672309.918735217,-312096832.88321215,2427975.0000000005,-12.46,11990000.000000002,-41967908.94877035,-41967908.94877035,"",-32672309.918735217
