year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,10,2.2,22.2,586666.6666666667,5334840,2597333.3333333335,-7345506.666666666,-1252.1,11733.333333333336,-9785215,-75730215.00000001,2427975.0000000005,-3.03,11990000.000000002,-19335506.666666668,-19335506.666666668,"",-9785215
2,2027,20,8,40,2154240,10669680,5262208,-13777648,-639.6,43084.8,-16248707.8,-91978922.80000001,2427975.0000000005,-5.69,11990000.000000002,-25767648,-25767648,"",-16248707.8
3,2028,27.5,14.7,53.3,4028428.8,14670810,8448328.96,-19090710.16,-473.9,80568.576,-21599253.736,-113578176.53600001,2427975.0000000005,-7.9,11990000.000000002,-31080710.160000004,-31080710.160000004,"",-21599253.736
4,2029,35,21.8,62.2,6101238.527999999,18671940,11972105.497599998,-24542806.9696,-402.3,122024.77055999998,-27092806.74016,-140670983.27616,2427975.0000000005,-10.16,11990000.000000002,-36532806.9696,-36532806.9696,"",-27092806.74016
5,2030,42.5,29.5,69.3,8420456.259072,22673070,15914775.6404224,-30167389.381350398,-358.3,168409.12518144,-32763773.50653184,-173434756.78269184,2427975.0000000005,-12.49,11990000.000000002,-42157389.3813504,-42157389.3813504,"",-32763773.50653184
6,2031,50,37.3,74.7,10881820.396339199,26674200,20099094.673776638,-35891474.27743744,-329.8,217636.40792678398,-38537085.685364224,-211971842.46805605,2427975.0000000005,-14.87,11990000.000000002,-47881474.27743744,-47881474.27743744,"",-38537085.685364224
7,2032,50,39.1,78.2,11628002.36637389,26674200,21367604.022835612,-36413801.65646172,-313.2,232560.04732747778,-39074336.703789204,-251046179.17184526,2427975.0000000005,-15.09,11990000.000000002,-48403801.65646172,-48403801.65646172,"",-39074336.703789204
8,2033,50,40.4,80.9,12264899.768713914,26674200,22450329.606813654,-36859629.83809974,-300.5,245297.99537427828,-39532902.83347402,-290579082.0053193,2427975.0000000005,-15.28,11990000.000000002,-48849629.83809974,-48849629.83809974,"",-39532902.83347402
9,2034,50,41.3,82.7,12785147.165496722,26674200,23334750.181344427,-37223803.015847705,-291.1,255702.94330993443,-39907480.95915764,-330486562.96447694,2427975.0000000005,-15.44,11990000.000000002,-49213803.015847705,-49213803.015847705,"",-39907480.95915764
10,2035,50,42.2,84.4,13321298.498243358,26674200,24246207.44701371,-37599108.94877035,-282.2,266425.96996486717,-40293509.91873522,-370780072.88321215,2427975.0000000005,-15.6,11990000.000000002,-49589108.94877035,-49589108.94877035,"",-40293509.91873522
