year,calendar_year,mw_live,occupied_mw,occupancy_pct,revenue,power_cost,opex,ebitda,ebitda_margin,maintenance_capex,free_cash_flow,cumulative_fcf,debt_service,dscr,depreciation,ebit,taxable_income,cash_taxes,free_cash_flow_post_tax
1,2026,4,0.9,23.6,2040000,2102400,0,-62400,-3.1,40800,-6950039.999999999,-83026039.99999999,6846839.999999999,-0.02,19018999.999999996,-19081399.999999996,-19081399.999999996,"",-6950039.999999999
2,2027,8,3.4,42.5,7345468.800000001,4204800,0,3140668.8000000007,42.8,146909.37600000002,-3853080.5759999985,-86879120.57599999,6846839.999999999,0.44,19018999.999999996,-15878331.199999996,-15878331.199999996,"",-3853080.5759999985
3,2028,11,6.2,56.7,13469386.13856,5781600,0,7687786.138560001,57.1,269387.7227712,571558.4157888014,-86307562.16021119,6846839.999999999,1.08,19018999.999999996,-11331213.861439995,-11331213.861439995,"",571558.4157888014
4,2029,14,9.3,66.1,20003997.599199936,7358400,0,12645597.599199936,63.2,400079.9519839987,5398677.647215937,-80908884.51299526,6846839.999999999,1.79,19018999.999999996,-6373402.4008000605,-6373402.4008000605,"",5398677.647215937
5,2030,17,12.5,73.7,27072046.812961657,8935200,0,18136846.812961657,67,541440.9362592332,10748565.876702424,-70160318.63629283,6846839.999999999,2.57,19018999.999999996,-882153.1870383397,-882153.1870383397,"",10748565.876702424
6,2031,20,15.9,79.3,34306285.71154203,10512000,0,23794285.711542033,69.4,686125.7142308407,16261319.997311193,-53898998.63898164,6846839.999999999,3.38,19018999.999999996,4775285.711542036,4775285.711542036,477528.5711542037,15783791.42615699
7,2032,20,16.6,83.1,35947106.3481455,10512000,0,25435106.3481455,70.8,718942.12696291,17869324.22118259,-36029674.417799056,6846839.999999999,3.61,19018999.999999996,6416106.348145504,6416106.348145504,641610.6348145504,17227713.58636804
8,2033,20,17.2,85.9,37180010.39791791,10512000,0,26668010.39791791,71.7,743600.2079583582,19077570.189959552,-16952104.227839503,6846839.999999999,3.79,19018999.999999996,7649010.397917915,7649010.397917915,764901.0397917916,18312669.15016776
9,2034,20,17.6,87.8,38004752.91428316,10512000,0,27492752.914283156,72.3,760095.0582856631,19885817.85599749,2933713.628157988,6846839.999999999,3.9,19018999.999999996,8473752.91428316,8473752.91428316,847375.291428316,19038442.564569175
10,2035,20,17.9,89.7,38829823.84045452,10512000,0,28317823.84045452,72.9,776596.4768090904,20694387.363645427,305963634.7581667,6846839.999999999,4.02,19018999.999999996,9298823.840454523,9298823.840454523,929882.3840454523,19764504.979599975
